lambda,a,B,rho,N_prom
5,1.6666666666666667,8.607974728457703e-06,0.16666523200421196,1.6666523200421195
10,3.3333333333333335,0.0016660060521729565,0.332777997982609,3.32777997982609
15,5.0,0.01838457033664814,0.49080771483167596,4.908077148316759
20,6.666666666666667,0.06585919072055292,0.6227605395196315,6.227605395196315
25,8.333333333333334,0.1368944045169019,0.7192546629025821,7.192546629025821
30,10.0,0.21458234310734736,0.785417656892653,7.85417656892653
35,11.666666666666666,0.2881408815541742,0.8305023048534637,8.305023048534636
40,13.333333333333334,0.35356646971793193,0.8619113737094242,8.619113737094242
45,15.0,0.41034054195845354,0.8844891870623199,8.844891870623199
50,16.666666666666668,0.4592540658670404,0.9012432235549326,9.012432235549326
55,18.333333333333332,0.5014313255726585,0.9140425697834598,9.140425697834598
60,20.0,0.5379631686320728,0.9240736627358542,9.240736627358542
65,21.666666666666668,0.5697950120200664,0.9321108072898564,9.321108072898564
70,23.333333333333332,0.5977111138242631,0.9386740677433861,9.386740677433862
75,25.0,0.6223510166521339,0.9441224583696652,9.441224583696652
80,26.666666666666668,0.6442336897489629,0.9487101606694323,9.487101606694322
85,28.333333333333332,0.6637807144332843,0.9526213091056943,9.526213091056944
90,30.0,0.6813359735601644,0.955992079319507,9.55992079319507
